#TAG,NAME IN REPO (or git url),PURPOSE
,arandr,"allows the user to customize monitor arrangements."
,bat,"can highlight code output and display files and is used to generate previews in the file browser."
A,brave-bin,"internet browser with built-in adblock."
,btop,"enhanced system monitor."
,calcurse,"terminal-based organizer for interactive and command line use."
,dmenu,"lightweight, dynamic menu for X."
,dunst,"is a suckless notification system."
,feh,"wallpaper utility."
,fzf,"fuzzy finder."
,gnome-keyring,"serves as the system keyring."
,i3-wm,"window manager."
,libnotify,"desktop notifications."
,man-db,"manpage reader."
,moreutils,"collection of useful unix tools."
,mpv,"video player."
,neovim,"tidier vim with some useful features."
,nsxiv,"minimalistic image viewer."
,pipewire-pulse,"gives pipewire compatibility with PulseAudio programs."
,polkit,"manages user policies."
,polybar,"customizable status bar."
,pulsemixer,"audio controller."
,ranger,"minimalistic terminal file browser."
,slock,"allows you to lock your computer, and quickly unlock with your password."
G,https://git.suckless.org/st,"terminal emulator for X."
,ttf-dejavu-nerd,"additional glyphs for dev environments."
,ttf-font-awesome,"extended glyph support."
,xdotool,"provides window action utilities on the command line."
,xclip,"allows for copying and pasting from the command line."
,xcompmgr,"utility for transparency and removing screen-tearing."
,xorg-server,"graphical server."
,xorg-xinit,"graphical server startup utility."
,xorg-xprop,"is a tool for detecting window properties."
,xorg-xset,"configuration utility for X server."
,zathura,"pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"mupdf pdf compatibility module in zathura."
,zsh-fast-syntax-highlighting-git,"provides syntax highlighting in the shell."
